-53_9__0_48_2019-09-24.jpg,0,"0, 0.0)\n",0,,"0, 0.0369",0.0369,,,0,,0.071173691,,,0.0117,,,,,
-53_9__0_56_2019-09-24.jpg,0.3333,"0, 0.0362",0.0362,,"0, 0.0181",0.0181,,,0.069870681,,0.035556429,,,-0.0369,,,,,
-60_86__-2_98_2020-07-29.jpg,0.7,"0, 0.0735",0.0735,,"0, 0.0525",0.0525,,,0.136935259,,0.09976247,,,0.0181,,,,,
-60_86__-3_02_2020-07-29.jpg,0.3333,"0, 0.0422",0.0422,,"0, 0.0369",0.0369,,,0.080982537,,0.071173691,,,0.021,,,,,
-63_23__3_57_2020-09-20.jpg,0,"0, 0.0)\n",0,,"0, 0.0)\n",0,,,0,,0,,,0.0053,,,,,
-63_23__3_66_2019-09-21.jpg,0.45,"0, 0.0658",0.0658,,"0, 0.0532",0.0532,,,0.123475324,,0.101025446,,,0,,,,,
-63_27__3_58_2019-09-21.jpg,0.1667,"0, 0.0530",0.053,,"0, 0.0)\n",0,,,0.100664767,,0,,,0.0126,,,,,
-63_27__3_66_2019-09-21.jpg,0.5,"0, 0.0446",0.0446,,"0, 0.0163",0.0163,,,0.085391537,,0.032077143,,,0.053,,,,,
-63_31__3_57_2018-03-15.jpg,0.1429,"0, 0.0464",0.0464,,"0, 0.0291",0.0291,,,0.088685015,,0.056554271,,,0.0283,,,,,
-63_31__3_57_2019-03-15.jpg,0.051,"0, 0.0256",0.0256,,"0, 0.0438",0.0438,,,0.049921997,,0.083924123,,,0.0173,,,,,
-63_31__3_57_2020-09-20.jpg,0.2857,"0, 0.0571",0.0571,,"0, 0.0480",0.048,,,0.108031407,,0.091603053,,,-0.0182,,,,,
-63_31__3_62_2019-09-21.jpg,0.25,"0, 0.0394",0.0394,,"0, 0.0086",0.0086,,,0.075812969,,0.017053341,,,0.0091,,,,,
-63_31__3_66_2019-09-21.jpg,0,"0, 0.0)\n",0,,"0, 0.0)\n",0,,,0,,0,,,0.0308,,,,,
-63_59__3_705_2020-03-04.jpg,0.8333,"0, 0.0779",0.0779,,"0, 0.0448",0.0448,,,0.14454031,,0.08575804,,,0,,,,,
-63_59__3_705_2020-09-13.jpg,0.25,"0, 0.0553",0.0553,,"0, 0.0356",0.0356,,,0.104804321,,0.068752414,,,0.0331,,,,,
-63_59__3_75_2020-03-04.jpg,0,"0, 0.0)\n",0,,"0, 0.0)\n",0,,,0,,0,,,0.0197,,,,,
