-63_4__-9_92_2018-07-25.jpg,0.0385,"1, 0.0247"
-63_4__-9_96_2018-07-25.jpg,0.0556,"1, 0.0335"
-63_44__-10_0_2018-07-25.jpg,0.0133,"1, 0.0091"
-63_44__-10_04_2018-07-25.jpg,0.0491,"1, 0.0292"
-63_44__-10_08_2018-07-25.jpg,0.0125,"1, 0.0030"
-63_44__-9_92_2018-07-25.jpg,1,"1, 0.0623"
-63_44__-9_96_2018-07-25.jpg,0.1,"1, 0.0303"
-63_48__-10_0_2018-07-25.jpg,0.5,"1, 0.1204"
-63_48__-10_04_2018-07-25.jpg,0,"1, 0.0)\n"
-63_48__-9_88_2018-07-25.jpg,0.2361,"1, 0.0831"
-63_48__-9_92_2018-07-25.jpg,0.0417,"1, 0.0140"
-63_48__-9_96_2018-07-25.jpg,0.1944,"1, 0.0755"
-63_52__-10_0_2018-07-25.jpg,0.4643,"1, 0.1424"
-63_52__-10_08_2018-07-25.jpg,0.0078,"1, 0.0014"
-63_52__-9_96_2018-07-25.jpg,0.1538,"1, 0.0706"
-63_56__-10_0_2018-07-25.jpg,0.0625,"1, 0.0487"
-63_56__-10_04_2018-07-25.jpg,0,"1, 0.0)\n"
-63_56__-10_08_2018-07-25.jpg,0,"1, 0.0)\n"
-63_6__-10_0_2018-07-25.jpg,0,"1, 0.0)\n"
-63_6__-10_04_2018-07-25.jpg,0,"1, 0.0)\n"
-63_6__-10_08_2018-07-25.jpg,0,"1, 0.0)\n"
-63_6__-9_88_2018-07-25.jpg,0.25,"1, 0.0539"
-63_6__-9_96_2018-07-25.jpg,0.0098,"1, 0.0010"
